"ID","Empresa / Operador","Proyecto Principal","Provincia","Mineral","Inversion Est (USD)","Pagina Web","Contacto LinkedIn Empresa","5 Personas Clave a Contactar (Nombre, Cargo & LinkedIn)","Empleados Totales (Arg / Global)","Empleados IT / Sistemas","Employer Rating (1-10)","Atractivo Laboral / ¿Es de las mejores para trabajar?","Oportunidad Tecnica Bromteck"
"1","Lundin Mining / BHP (Vicuña Corp)","Josemaría & Filo del Sol","San Juan","Cobre / Oro","$5.600 M","https://www.lundinmining.com","https://www.linkedin.com/company/lundin-mining-corporation/","1. Alfredo Vitaller (VP Asuntos Corp) | 2. Roberto Cacciola (Pres. CAEM) | 3. Fernando Cola (Gerente IT) | 4. Carolina La Rosa (Gerente RRHH) | 5. Sergio Rotondo (Dir. Operaciones)","~4.500 Arg / 13.500 Global","~45-60 IT","9.2","Excelente: Megaproyecto Greenfield Tier 1 de Cobre, inversión multimillonaria BHP, salarios top de mercado y máxima tecnología.","Subestaciones de AT/BT, línea 500 kV, telemedición en campamentos (4.000 operarios)."
"2","Glencore","El Pachón","San Juan","Cobre / Oro","$5.600 M","https://www.glencore.com","https://www.linkedin.com/company/glencore/","1. Nicolás Bareta (Gerente General) | 2. Juan Donicelli (Dir. Legales) | 3. Jorge Sausset (Gerente Desarrollo) | 4. Martin Perez (Superint. IT/OT) | 5. Maria Laura García (Gerente RRHH)","~1.200 Arg / 150.000 Global","~25-35 IT","8.8","Muy Alto: Respaldo del mayor trader minero mundial, sólida estabilidad corporativa, salarios competitivos e infraestructura técnica gigante.","Monitoreo RAG de Pérdidas Técnicas en líneas secundarias y plantas de flotación."
"3","McEwen Mining / Nuton (Rio Tinto)","Los Azules","San Juan","Cobre","$2.500 M","https://www.mcewenmining.com","https://www.linkedin.com/company/mcewen-copper/","1. Michael Meding (VP Ejecutivo) | 2. Mario Hernández (Dir. RSE/Inst) | 3. Franco Rizzetto (Gerente Tech/IT) | 4. Patricia Fernández (Gerente RRHH) | 5. Eduardo Machuca (Gerente Operaciones)","~800 Arg / 1.500 Global","~15-25 IT","9.0","Sobresaliente para Tech/Innovación: Enfoque Net-Zero (huella de carbono cero), inversión directa de Stellantis y Nuton/Rio Tinto.","Infraestructura Net-Zero, control de microrredes aisladas y submedición."
"4","First Quantum Minerals","Taca Taca","Salta","Cobre / Oro","$3.600 M","https://www.first-quantum.com","https://www.linkedin.com/company/first-quantum-minerals/","1. Germán Pérez (Country Manager) | 2. Ignacio Celorrio (VP Rel. Int) | 3. Carlos Martinez (Gerente Energía) | 4. Valeria Moreno (Gerente RRHH) | 5. Esteban Ruiz (Líder IT/Telemetría)","~600 Arg / 20.000 Global","~15-20 IT","8.5","Muy Bueno: Proyecto gigante de cobre en la Puna salteña, grandes desafíos de conectividad en alta montaña y desarrollo técnico.","Interconexión sistema Puna, control de calidad comercial EPRE y balanceo de carga."
"5","POSCO Argentina","Sal de Oro (Hombre Muerto)","Salta / Catamarca","Litio","$1.600 M","http://www.poscoargentina.com.ar","https://www.linkedin.com/company/posco-argentina/","1. Kwangbok Kim (Presidente) | 2. SungKook Kang (Director Planta Güemes) | 3. Vicente Arias (Gerente Asuntos Corp) | 4. Alejandro Choi (Superint. IT/Sistemas) | 5. Jimena Silva (Líder Talentos)","~2.100 Arg / 35.000 Global","~30-40 IT","8.3","Muy Bueno: Cultura surcoreana enfocada en alta disciplina industrial, robótica, plantas químicas de batería y tecnología avanzada.","Diagnóstico RAG en BT para planta química Güemes y extracción en salar."
"6","Arcadium Lithium (Rio Tinto / Livent)","Sal de Vida / Fénix","Catamarca","Litio","$1.400 M","https://www.arcadiumlithium.com","https://www.linkedin.com/company/arcadium-lithium/","1. Hélène Brisson (VP Operaciones) | 2. Fernando Heredia (Gerente General) | 3. Hilario Gorleri (Gerente Inst) | 4. Pablo Romero (Head of IT LatAm) | 5. Mariana Torres (Dir. People)","~2.400 Arg / 55.000 Global","~40-50 IT","9.1","Excelente: Adquirida por el gigante mundial Rio Tinto. Estándares globales Tier 1, beneficios de máximo nivel y carrera internacional.","Optimización de consumo en pozos de salmuera y prevención de pérdidas Joule."
"7","Minera Exar (Ganfeng & Lithium Americas)","Cauchari-Olaroz","Jujuy","Litio","$974 M","https://www.mineraexar.com.ar","https://www.linkedin.com/company/minera-exar-s-a-/","1. Franco Mignacco (Presidente) | 2. Lucila Lasry (Gerente RRHH) | 3. Marcelo Sola (Gerente Operaciones) | 4. Gabriel Fernandez (Jefe IT/Comms) | 5. Sebastian Rossi (Gerente Maint. Eléctrico)","~2.200 Arg","~25-35 IT","8.6","Muy Bueno: Proyecto en producción activa comercial en Jujuy. Excelente ritmo operativo, buena rotación de campamento y tecnología SCADA.","Visualización poligonal de pérdidas y control de activos de distribución en planta."
"8","Zijin Mining / Liex S.A.","Tres Quebradas (3Q)","Catamarca","Litio","$620 M","http://www.liex.com.ar","https://www.linkedin.com/company/liex-s-a/","1. Huang Zhenhua (Presidente Liex) | 2. Tomás De Pablos (Asesor Senior) | 3. Jing Xuelin (Gerente Proyecto 3Q) | 4. Gonzalo Delgado (Superint. IT) | 5. Romina Sanchez (Gerente Cap. Humano)","~1.500 Arg / 45.000 Global","~20-30 IT","8.0","Bueno: Grupo minero chino con expansión agresiva. Desafíos intensos en Fiambalá y salar, salarios competitivos con ritmo exigente.","Auditoría de submedición en módulos residenciales y servicios en Fiambalá."
"9","Ganfeng Lithium","Mariana","Salta","Litio","$600 M","https://www.ganfenglithium.com","https://www.linkedin.com/company/ganfeng-lithium/","1. Jason Luo (Presidente Argentina) | 2. Simon Perez (Gerente Asuntos Públicos) | 3. Yanjun Liu (Director Técnico) | 4. Nicolas Castro (Gerente IT/Digital) | 5. Victoria Gimenez (Líder RRHH)","~1.300 Arg / 20.000 Global","~20-25 IT","8.2","Muy Atractivo para Renovables: Integración pionera con Parque Solar de 120 MW en el salar. Cultura china en rápido desarrollo.","Evacuación y pérdidas en red de distribución del parque solar de 120 MW en Llullaillaco."
"10","Lake Resources / Lilac Solutions","Kachi","Catamarca","Litio","$1.380 M","https://lakeresources.com.au","https://www.linkedin.com/company/lake-resources/","1. David Sgro (CEO Lake) | 2. Amalia Sáenz (Country Manager Arg) | 3. Rafeh Hulme (VP Tech Lilac) | 4. Marcos Gutierrez (Gerente IT) | 5. Paula Varela (Gerente Personal)","~450 Arg / 900 Global","~15-20 IT","8.7","Muy Alto para Perfiles Tech: Lilac Solutions es una startup de Silicon Valley respaldada por Bill Gates con tecnología DLE de vanguardia.","Ingeniería de consumo en reactores DLE (Extracción Directa) y desbalance."
